"nombre del curso","id curso",organizacion,"fecha inicio","fecha fin","inicio de inscripcion","fin de inscripcion"
"Conoce MéxicoX",course-v1:MexicoX+CMX01+2016,MexicoX,"2017-01-01 18:00:00","2017-12-30 18:00:00","2017-01-01 00:30:00","2017-12-28 00:00:00"
"Introducción al uso y representación de información geoespacial",course-v1:CENTROGEO+CGIURIG02x+2017_S1,CENTROGEO,"2017-03-30 00:00:00","2017-04-27 06:00:00","2017-02-09 00:00:00","2017-04-06 06:00:00"
"Resiliencia nómica",course-v1:IIIDx+IIIDRn104x+2017_S1,IIIDx,"2017-02-06 00:00:00","2017-04-24 00:00:00","2016-11-30 00:00:00","2017-03-15 00:00:00"
"Entendiendo el Cálculo Integral",course-v1:TECNM+ACF010217Bx+2017_S1,TECNM,"2017-02-13 07:00:00","2017-04-23 07:00:00","2016-12-19 07:00:00","2017-02-20 23:30:00"
"¿Cómo entender el presupuesto? El gasto público a través de los datos",course-v1:SHCP+CEPGP005x+2017_S1,SHCP,"2017-03-15 06:00:00","2017-04-19 06:00:00","2017-02-02 00:00:00","2017-03-22 00:00:00"
"Energías convencionales, limpias y su tecnología",course-v1:Tecnologico_de_Monterrey+ECLE1I01x+2017_T1,"Tecnológico de Monterrey","2017-02-27 00:00:00","2017-04-15 05:00:00","2016-11-04 00:00:00","2017-02-26 19:00:00"
"Investigación. Descubriendo Hechos y Principios",course-v1:TecNM+IDHP02201717AX+2017_S1,TecNM,"2017-02-13 00:00:00","2017-04-09 23:59:00","2016-12-19 00:00:00","2017-02-20 00:00:00"
"La historia de la vida cotidiana",course-v1:COLMEX+CMHVC02x+2017_S1,"El Colegio de México","2017-03-20 00:00:00","2017-04-07 00:00:00","2017-02-14 00:00:00","2017-03-28 00:00:00"
"Herramientas de gestión y comunicación en la nube",course-v1:TECNM+HGCN022017+2017_S1,TECNM,"2017-02-13 06:00:00","2017-04-02 23:30:00","2016-12-19 00:00:00","2017-02-20 23:30:00"
"La nueva industria eléctrica en México",course-v1:Tecnologico_de_Monterrey+LNIE1I01x+2017_T1,"Tecnológico de Monterrey","2017-02-13 05:00:00","2017-04-01 04:59:00","2016-09-30 00:00:00","2017-02-20 04:59:00"
" ¿Cómo son nuestras escuelas? Evaluación de Condiciones Básicas para la Enseñanza y el Aprendizaje",course-v1:INEE+INEEECEA04x+2017_S1,INEE,"2017-03-01 00:00:00","2017-03-29 00:00:00","2017-02-01 00:00:00","2017-03-01 06:00:00"
"Probabilidad y estadística",course-v1:TECNM+PE022017AX+2017_S1,TECNM,"2017-02-13 06:00:00","2017-03-26 06:00:00","2017-01-01 06:00:00","2017-02-20 06:00:00"
"Cálculo diferencial, primera parte",course-v1:TECNM+CD1P022017AX+2017_S1,TECNM,"2017-02-13 00:00:00","2017-03-26 06:00:00","2016-12-19 00:00:00","2017-02-20 06:00:00"
"La ética, el ser humano y la ciencia",course-v1:TECNM+ESHC022017AX+2017_S1,TECNM,"2017-02-13 06:00:00","2017-03-26 06:00:00","2017-01-01 06:00:00","2017-02-20 06:00:00"
"Aritmética y principios de Álgebra",course-v1:TECNM+APA022017AX+2017_S1,TECNM,"2017-02-13 05:00:00","2017-03-26 05:00:00","2017-01-01 00:00:00","2017-02-20 23:59:00"
"Desarrollo Sustentable, nuestro futuro compartido",course-v1:TECNM+DSNFC022017Bx+2017_S1,TECNM,"2017-02-13 00:00:00","2017-03-26 05:00:00","2016-12-19 00:00:00","2017-02-20 00:00:00"
"Álgebra Lineal, primera parte",course-v1:TECNM+AL1P022017AX+2017_S1,TECNM,"2017-02-13 00:00:00","2017-03-26 00:00:00","2016-12-19 00:00:00","2017-02-20 23:30:00"
"Felicidad, Estudios avanzados",course-v1:IIIDx+IIIDFe102x+2017_S1,IIIDx,"2017-01-16 00:30:00","2017-03-20 23:00:00","2016-10-17 00:30:00","2017-02-28 23:00:00"
"Resolución de problemas matemáticos y el uso de tecnologías digitales",course-v1:CINVESTAV+RPMUTDX03+2017_S1,CINVESTAV,"2017-01-30 06:00:00","2017-03-20 06:00:00","2016-12-11 00:00:00","2017-02-06 00:00:00"
"Producción Multimedia de Material Didáctico",course-v1:UTPuebla+PMMDx+2016_S2,UTPuebla,"2017-02-20 00:00:00","2017-03-20 00:00:00","2016-10-20 00:00:00","2017-02-27 00:00:00"
"La reforma energética de México y sus oportunidades",course-v1:Tecnologico_de_Monterrey+LREE1I01x+2017_T1,"Tecnológico de Monterrey","2017-01-30 05:00:00","2017-03-18 04:59:00","2016-09-23 00:00:00","2017-02-08 04:59:00"
"Los desastres y sus efectos psicológicos",course-v1:CENAPRED+FEAP101x+2017_S1,CENAPRED,"2017-01-16 00:00:00","2017-03-16 00:00:00","2016-10-20 00:00:00","2017-01-23 00:00:00"
"Energía: pasado, presente y futuro",course-v1:Tecnologico_de_Monterrey+EPPE1I01x+2017_T1,"Tecnológico de Monterrey","2017-01-16 00:00:00","2017-03-03 04:59:00","2016-09-12 00:00:00","2017-01-30 04:59:00"
