"nombre del curso","id curso",organizacion,"fecha inicio","fecha fin","inicio de inscripcion","fin de inscripcion"
"Portafolios Digitales para Docentes",course-v1:UTPuebla+UTPPDDx+2017_S1,UTPuebla,"2017-01-16 00:00:00","2017-02-12 00:00:00","2016-10-19 00:00:00","2017-01-23 00:00:00"
"Curso de Prueba RPG",course-v1:EscuelaX+CPRPG+2017,EscuelaX,"2017-01-01 00:00:00","2017-02-02 21:30:00","2017-01-01 00:00:00",
"Resiliencia nómica",course-v1:IIIDx+IIIDRn103x+2016_s2,IIIDx,"2016-09-12 01:00:00","2016-12-17 23:00:00","2016-08-08 23:00:00","2016-12-29 00:30:00"
"Introducción a la Educación Financiera",course-v1:BANSEFI+BANSEFIIEF01x+2016_S2,BANSEFI,"2016-11-15 18:00:00","2016-12-11 23:30:00","2016-10-10 00:00:00","2016-12-09 23:30:00"
CineRegistro,course-v1:CENART+CNRG2016+2016_S2,CENART,"2016-10-17 00:00:00","2016-12-11 00:00:00","2016-08-15 00:00:00","2016-11-14 00:00:00"
"Diez en Planea",course-v1:INEE+DP01+2016_S2,INEE,"2016-11-14 00:00:00","2016-12-09 23:30:00","2016-11-10 00:00:00","2016-11-26 23:30:00"
"Finanzas para emprendedores",course-v1:FCPS-UNAM+UNAM0008x+2016_S2,FCPS-UNAM,"2016-10-24 00:00:00","2016-12-09 23:30:00","2016-10-24 00:00:00","2016-11-13 23:30:00"
"Agricultura Familiar: Transformaciones y Perspectivas ",course-v1:SAGARPA+CMHI1x+2016_S2,SAGARPA,"2016-11-12 00:00:00","2016-12-09 23:00:00","2016-10-19 00:00:00","2016-11-12 23:30:00"
"Introducción al uso y representación de información geoespacial",course-v1:CENTROGEO+CGGTARE_1x+2016_S2,CENTROGEO,"2016-11-03 00:00:00","2016-12-09 06:00:00","2016-09-10 00:00:00","2016-11-24 06:00:00"
"Sistema de Evaluación del Desempeño",course-v1:SHCP-UNAM+DPbR4x+2016_S2,SHCP-UNAM,"2016-11-09 06:00:00","2016-12-07 05:30:00","2016-11-04 00:00:00","2016-11-10 00:00:00"
"De México al mundo, los ingredientes. ",course-v1:UCSJ+UCSJMXv2x+2016_S2,UCSJ,"2016-10-24 13:00:00","2016-12-05 05:00:00","2016-09-05 01:00:00","2016-10-31 00:00:00"
"La línea, 3200 Kms de frontera",course-v1:Colef+Colef02x+2016_S2,Colef,"2016-10-17 00:00:00","2016-12-04 23:30:00","2016-08-20 00:00:00","2016-10-16 23:30:00"
"Servicios Turísticos",course-v1:UTC+UTCM01+2016_C3,UTC,"2016-10-24 00:00:00","2016-12-02 23:30:00",,"2016-10-31 23:30:00"
"Aprendizaje estratégico en ambientes virtuales",course-v1:UnADM+UnADM-AEAV-01+2016_S2,UnADM,"2016-11-07 00:00:00","2016-12-02 00:00:00","2016-09-27 00:00:00","2016-11-14 00:00:00"
"Descifrando el Mundo de las adicciones",course-v1:UniversidadHebraica+UHMx_02+2016_S2,UniversidadHebraica,"2016-09-15 00:00:00","2016-11-30 12:00:00","2016-08-26 12:00:00","2016-09-22 12:00:00"
"Prevención del conflicto derivado del acto médico",course-v1:CONAMED+PCDAM2+2016_S2,CONAMED,"2016-11-01 00:00:00","2016-11-30 00:00:00","2016-10-01 00:00:00","2016-11-08 00:00:00"
"Iniciación al uso de hojas de cálculo en el aula con Microsoft Excel",course-v1:Microsoft+MSE01+2016_S2,Microsoft,"2016-10-31 00:00:00","2016-11-27 23:30:00","2016-06-15 00:00:00","2016-11-06 23:30:00"
"Aprender a Aprender, alternativas para una mejor calidad de vida",course-v1:Prepaenlinea-SEP+PELSEPAAOx+2016_S2,Prepaenlinea-SEP,"2016-10-24 06:00:00","2016-11-27 06:00:00","2016-10-05 06:00:00","2016-10-31 06:00:00"
"Curso Integral de Consolidación a las Habilidades Docentes",course-v1:DGESPE+CICHD-2016_S2+2016_S2,DGESPE,"2016-09-12 00:00:00","2016-11-25 00:00:00","2016-09-12 00:00:00","2016-10-28 00:00:00"
"Coaching Educativo",course-v1:UNIRMexico+CE_UNIRMex_02+2016_S2,UNIRMexico,"2016-10-17 11:00:00","2016-11-21 04:30:00","2016-08-18 20:00:00","2016-10-24 04:30:00"
"Evaluación educativa en un clic",course-v1:INEE+EEC01+2016_S2,INEE,"2016-10-18 00:00:00","2016-11-18 23:30:00",,"2016-10-26 00:00:00"
"Cálculo diferencial",course-v1:TECNM+ACF090116Ax+2016,TECNM,"2016-09-05 00:00:00","2016-11-15 06:00:00","2016-07-28 00:00:00","2016-09-19 06:00:00"
"Entendiendo el Cálculo Integral",course-v1:TECNM+ACF090216Bx+2016,TECNM,"2016-09-05 07:00:00","2016-11-14 07:00:00","2016-07-05 07:00:00","2016-09-19 23:30:00"
"Álgebra Lineal",course-v1:TecNM+ACF090316Bx+2016_2,TecNM,"2016-09-05 00:00:00","2016-11-14 00:00:00","2015-08-04 00:00:00","2016-09-19 23:30:00"
"Introducción a la Nueva Epistemología",course-v1:UPN+UPN003x+2016,UPN,"2016-09-05 00:00:00","2016-11-13 00:00:00","2016-07-25 00:00:00",
"Probabilidad y estadística",course-v1:TECNM+TecNM_PE2016+2016,TECNM,"2016-09-12 00:00:00","2016-11-09 00:00:00",,"2016-11-02 00:00:00"
