"Id del curso","Constancias emitidas",Inscritos,"Eficiencia en porcentaje"
"ABC para la creación de proyectos culturales",2138,8633,24.765434958879
"Resolución de problemas matemáticos y el uso de tecnologías digitales",444,2527,17.570241392956
"Migración, un fenómeno global",307,3141,9.7739573384273
"Prevención del conflicto derivado del acto médico",192,1540,12.467532467532
"Tecnologías de la información y la comunicación (TIC) para la participación social en la educación",819,2768,29.588150289017
"Aprender a Aprender, Alternativas para una mejor calidad de vida(abierto)",1335,5881,22.700221050842
DGESPE/CICHD-2015/S1_2016,7861,14503,54.202578776805
"Curso Integral de Consolidación a las Habilidades Docentes",4559,11314,40.295209474987
"Introducción a los Ambientes Virtuales de Aprendizaje",11107,26500,41.91320754717
"Literatura y cultura tradicional de México",1407,6680,21.062874251497
"La historia de la vida cotidiana",1341,5973,22.45102963335
"Resiliencia Nómica",1652,12109,13.642745065654
"Estrategias para el Manejo de Recursos de Información Científica",806,4593,17.548443283257
"Herramientas de cómputo para la investigación y análisis de redes sociales",539,4693,11.485190709567
"Protección de Datos Personales",434,2458,17.656631407648
"Internet de las cosas",418,4548,9.1908531222515
Demencias,133,5170,2.5725338491296
"ETV: Paludismo, Dengue y Chikungunya",447,2343,19.078104993598
"Lactancia materna y amamantamiento",1464,5314,27.549868272488
"Salud ósea a lo largo de la vida",352,2838,12.403100775194
"Aprender a Aprender, Alternativas para una mejor calidad de vida(cerrado)",294,3005,9.783693843594
"Aprender a Aprender, alternativas para una mejor calidad de vida(cerrado 2)",494,7338,6.7320795857182
"Aprender a Aprender, alternativas para una mejor calidad de vida(abierto 2)",650,2874,22.616562282533
SETEC-SEGOB/SETEC-Inic/2016,5018,26266,19.104545800655
"Otra forma de aprender historia",92,1650,5.5757575757576
"Entendiendo el Cálculo Integral",2720,13023,20.886124548875
"Algebra Lineal",6653,24957,26.657851504588
"Álgebra Lineal",1215,8196,14.824304538799
"Algebra de Espacios Vectoriales",747,6042,12.363455809335
"Investigación, Descubriendo Hechos y Principios",3680,11025,33.378684807256
"Desarrollo Sustentable, nuestro futuro compartido",1824,11734,15.544571331174
"Informática en la vida moderna",3913,14149,27.655664711287
"Piérdele el miedo a las mates",4523,23673,19.106154690998
"La dramática en el audiovisual de ficción",157,2502,6.2749800159872
"De México al mundo, los ingredientes",775,3704,20.923326133909
"Cómo crear un MOOC ... para todos",369,4642,7.9491598448944
"Finanzas para emprendedores",3029,27835,10.881983114784
"México multiculturalismo",1318,7529,17.505644839952
"Redacción para todos",29936,160942,18.600489617378
"Cambio climático",1775,7707,23.03101076943
"Astronomía. Galaxias: los puentes entre las estrellas y el Universo",636,8084,7.8673923800099
"México, sus grandes retos y oportunidades",1002,4712,21.264855687606
"Coaching Educativo",1994,8002,24.918770307423
"El uso de las TIC en la Educación Básica ",381,1898,20.073761854584
"Seducciones de Sor Juana",230,4047,5.6832221398567
"Descifrando el Mundo de las adicciones",451,5457,8.2646142569177
"Biología Humana",1321,6363,20.760647493321
"Programación Orientada a Objetos (POO)",1614,11169,14.450711791566
"Administración de Proyectos de Tecnologías de la Información",415,8521,4.8703203849313
"Violencia en la Escuela. Herramientas para su análisis e intervención",1407,5683,24.758050325532
"Educación intercultural. Perspectivas interdisciplinarias",635,3809,16.671042268312
