id,"id curso","nombre del curso",inscritos,"constancias emitidas",eficiencia
143,course-v1:BANSEFI+BANSEFIIEF01x+2016_S2,"Introducción a la Educación Financiera",5566,1680,30.18
54,course-v1:BUAP+BUAP-AA2016+2016_S2,"Apreciación y análisis. Una guía para entender el arte.",5349,2143,40.06
152,course-v1:CCT-Television-educativa+CCT-101-16+2016-S1,"La dramática en el audiovisual de ficción",1255,124,9.88
165,course-v1:CENAPRED+FEAP101x+2017_S1,"Los desastres y sus efectos psicológicos",4664,1077,23.09
44,course-v1:CENART+ABC2015+2015_S2,"ABC para la creación de proyectos culturales",8420,2138,25.39
43,course-v1:CENART+ABC2016+2016,"ABC para la creación de proyectos culturales",4647,1146,24.66
74,course-v1:CENART+CNRG2016+2016_S2,CineRegistro,6106,1297,21.24
148,course-v1:CENTROGEO+CGGTARE_1x+2016_S2,"Introducción al uso y representación de información geoespacial",7061,2302,32.6
201,course-v1:CINVESTAV+FRPMx+2016_S1,"Resolución de problemas matemáticos y el uso de tecnologías digitales",2340,444,18.97
202,course-v1:CINVESTAV+RPMUTDX03+2017_S1,"Resolución de problemas matemáticos y el uso de tecnologías digitales",2601,336,12.92
174,course-v1:Colef+Colef01+2015_COLEF,"Migración, un fenómeno global",3084,0,0
173,course-v1:Colef+Colef02+2016_S2,"Migración, un fenómeno global",2397,437,18.23
158,course-v1:Colef+Colef02x+2016_S2,"La línea, 3200 Kms de frontera",1723,429,24.9
184,course-v1:CONAMED+PCDAM+2016_C1,"Prevención del conflicto derivado del acto médico",1526,192,12.58
186,course-v1:CONAMED+PCDAM02+2016_S2,"Prevención del conflicto derivado del acto médico",4,0,0
185,course-v1:CONAMED+PCDAM2+2016_S2,"Prevención del conflicto derivado del acto médico",688,39,5.67
208,course-v1:CONAPASE+CONAPASE_TIC_2016+2016-S1,"Tecnologías de la información y la comunicación (TIC) para la participación social en la educación",2607,819,31.42
96,course-v1:DGESPE+CICHD-2016_S2+2016_S2,"Curso Integral de Consolidación a las Habilidades Docentes",4117,2004,48.68
95,course-v1:DGESPE+CICHD-2016+2016_05,"Curso Integral de Consolidación a las Habilidades Docentes",3276,730,22.28
137,course-v1:DGESPE+IAVA_2016+2016_S2,"Inducción a los Ambientes Virtuales de Aprendizaje",26494,11107,41.92
181,course-v1:DGSPE+CPENx+2016-T2,"Portafolio de evidencias para Escuelas Normales",4047,1420,35.09
195,course-v1:DGTVE_UNAM+DGTVEUNAM001+2016_S2,"Redacción para todos",33,16,48.48
112,course-v1:edX+DemoX+Demo_Course,"edX Demonstration Course",509,0,0
156,course-v1:El_Colegio_de_Mexico+CMHI1x+2016_T1,"La historia de la vida cotidiana",5806,1341,23.1
163,course-v1:El_Colegio_de_Mexico+CMLT1X+2016_2,"Literatura y cultura tradicional de México",2447,291,11.89
164,course-v1:El_Colegios_de_Mexico+CMLT1X+2015_LT1,"Literatura y cultura tradicional de México",6556,0,0
127,course-v1:FCPS-UNAM+UNAM0007x+2016-S1,"Finanzas para emprendedores",9997,2395,23.96
128,course-v1:FCPS-UNAM+UNAM0008x+2016_S2,"Finanzas para emprendedores",115,44,38.26
73,course-v1:FEM-UAE+CBx+2016_T1,"Ciberbullying: la otra cara del internet",3916,741,18.92
126,course-v1:IIIDx+IIIDFe101x+2016_S2,"Felicidad, Estudios avanzados.",8634,2082,24.11
124,course-v1:IIIDx+IIIDFe102x+2017_S1,"Felicidad, Estudios avanzados",7744,1294,16.71
197,course-v1:IIIDx+IIIDRn102x+2016_T1,"Resiliencia nómica",7795,1555,19.95
198,course-v1:IIIDx+IIIDRn103x+2016_s2,"Resiliencia nómica",8321,1855,22.29
199,course-v1:IIIDx+IIIDRn104x+2017_S1,"Resiliencia nómica",5561,680,12.23
167,course-v1:INEA+LPTMx+2016_S2,"Los pueblos tenemos memoria",1594,447,28.04
171,course-v1:INEA+PPEH+2016E1,"México y su pasado reciente",1918,477,24.87
107,course-v1:INEE+DP01+2016_S2,"Diez en Planea",4177,1685,40.34
122,course-v1:INEE+EEC01+2016_S2,"Evaluación educativa en un clic",4048,1729,42.71
120,course-v1:INFOTEC+EMRIC+2016_T1,"Estrategias para el Manejo de Recursos de Información Científica",4349,806,18.53
133,course-v1:INFOTEC+HCIARS+2016_T1,"Herramientas de cómputo para la investigación y análisis de redes sociales",4492,539,12
193,course-v1:INFOTEC+INFOTECPDP+2016_T1,"Protección de Datos Personales",2357,434,18.41
142,course-v1:INFOTEC+MOOC_IdC+062015,"Internet de las Cosas",4371,418,9.56
101,course-v1:INGER+DEMENCIAS01+2016_S1,Demencias,5064,133,2.63
121,course-v1:INSP+insp.etv.001+2015_T1,"ETV: Paludismo, Dengue y Chikungunya",2315,0,0
161,course-v1:INSP+lactancia.01+2015_T1,"Lactancia materna y amamantamiento",5278,0,0
204,course-v1:INSP+osea1+2015_T2,"Salud ósea a lo largo de la vida",2799,0,0
46,course-v1:IPN+APTI01+2016-S2,"Administración de Proyectos de Tecnologías de la Información ",3536,262,7.41
66,course-v1:IPN+IPN_BH01+2016_S2,"Biología Humana",3805,648,17.03
192,course-v1:IPN+POO2016+2016_S1,"Programación Orientada a Objetos (POO)",4619,418,9.05
131,course-v1:IPN-UPEV+FDEMNS_01+2016,"Formación docente para la enseñanza de Matemáticas básicas",4204,83,1.97
132,course-v1:IPN-UPEV+GEOB_01+2016,"Geobiología: evolución de la vida y la Tierra",3032,274,9.04
136,course-v1:IPN-UPEV+ICE_01+2016,"Inducción a la corrección de estilo",10026,1173,11.7
162,course-v1:IPN-UPEV+LGCEPQ_01+2016,"Liderazgo de Gestión en Centros Educativos ¿Por qué?",4334,1138,26.26
79,course-v1:MexicoX+CMX01+2016,"Conoce MéxicoX",35226,0,0
140,course-v1:Microsoft+MSE01+2016_S2,"Iniciación al uso de hojas de cálculo en el aula con Microsoft Excel",19457,2928,15.05
191,course-v1:Microsoft+MSPP01+2016_S2,"Productividad y creatividad en el aula con Microsoft PowerPoint",10679,1458,13.65
109,course-v1:Microsoft+MSW01+2016_S2,"Edición de documentos para el aula de clases con Microsoft Word",12171,2292,18.83
56,course-v1:Prepaenlinea-SEP+PELSEPAAOx+2016_S2,"Aprender a Aprender, alternativas para una mejor calidad de vida",1533,523,34.12
59,course-v1:Prepaenlinea-SEP+Prepa003-2p+2016_1,"Aprender a Aprender, alternativas para una mejor calidad de vida",3676,494,13.44
57,course-v1:Prepaenlinea-SEP+PrepaSEP004-2a+2016_S1,"Aprender a Aprender, alternativas para una mejor calidad de vida",2739,650,23.73
55,course-v1:Prepaenlinea-SEP+PrepaSEP005-3a+2016_S2,"Aprender a Aprender, alternativas para una mejor calidad de vida",1952,535,27.41
58,course-v1:Prepaenlinea-SEP+PrepaSEP005-3c+2016_S2,"Aprender a Aprender, alternativas para una mejor calidad de vida",1785,233,13.05
47,course-v1:SAGARPA+CMHI1x+2016_S2,"Agricultura Familiar: Transformaciones y Perspectivas ",1731,471,27.21
82,course-v1:SETEC-SEGOB+SETEC-CBAMPSPA+2016_T3,"Curso básico para Agentes del Ministerio Público en el Sistema Penal Acusatorio",166,83,50
84,course-v1:SETEC-SEGOB+SETEC-CBAMPSPA+2016_T4,"Curso básico para Agentes del Ministerio Público en el Sistema Penal Acusatorio",737,559,75.85
83,course-v1:SETEC-SEGOB+SETEC-CBAMPSPA+2016-S2,"Curso básico para Agentes del Ministerio Público en el Sistema Penal Acusatorio",412,170,41.26
87,course-v1:SETEC-SEGOB+SETEC-DSPA+2016_T3,"Curso básico para Defensores en el Sistema Penal Acusatorio",260,197,75.77
86,course-v1:SETEC-SEGOB+SETEC-DSPA+2016_T4,"Curso básico para Defensores en el Sistema Penal Acusatorio",140,97,69.29
85,course-v1:SETEC-SEGOB+SETEC-DSPA+2016-S2,"Curso básico para Defensores en el Sistema Penal Acusatorio",206,152,73.79
90,course-v1:SETEC-SEGOB+SETEC-Jueces+2016,"Curso básico para Jueces en el Sistema Penal Acusatorio",95,52,54.74
88,course-v1:SETEC-SEGOB+SETEC-Jueces+2016_T3,"Curso básico para Jueces en el Sistema Penal Acusatorio",61,44,72.13
89,course-v1:SETEC-SEGOB+SETEC-Jueces+2016_T4,"Curso básico para Jueces en el Sistema Penal Acusatorio",71,55,77.46
130,course-v1:SHCP_UNAM+D_PbR1x+2016_S2,"Finanzas Públicas e Introducción al Presupuesto basado en Resultados",9045,6082,67.24
178,course-v1:SHCP-UNAM+DPbR2x+2016_S2,"Planeación y Presupuesto Orientado a Resultados",6105,5108,83.67
169,course-v1:SHCP-UNAM+DPbR3x+2016_S2,"Metodología de Marco Lógico y Matriz de Indicadores para Resultados",5122,4705,91.86
207,course-v1:SHCP-UNAM+DPbR4x+2016_S2,"Sistema de Evaluación del Desempeño",4726,4632,98.01
176,course-v1:SistemaDeUniversidadVirtualUdG+H2016-1+2016-S2,"Otra forma de aprender Historia",1539,92,5.98
141,course-v1:TecdeMonterrey+innorea01x+2016,"Innovación educativa con recursos abiertos",4834,90,1.86
104,course-v1:TecNM.MX+ACD090816Bx+2016_S2,"Desarrollo Sustentable, nuestro futuro compartido",8428,3136,37.21
50,course-v1:TecNM.MX+ACF-0903-15-A1+2016-T1,"Álgebra Lineal",8204,1215,14.81
48,course-v1:TecNM.MX+ACF-0903-2+2016_T1,"Álgebra de Espacios Vectoriales",5736,747,13.02
102,course-v1:TecNM.MX+M-ACD0908-1+2016,"Desarrollo Sustentable, nuestro futuro compartido",11297,1824,16.15
139,course-v1:TecNM.MX+TIP-1017-1+2016_T1,"Informática en la vida moderna",13701,3913,28.56
153,course-v1:TecNM+ACA090716Bx+2016,"La ética, el ser humano y la ciencia",8874,2710,30.54
150,course-v1:TecNM+ACA090916BX+2016_2,"Investigación. Descubriendo Hechos y Principios",8169,2334,28.57
119,course-v1:TECNM+ACF010217Bx+2017_S1,"Entendiendo el Cálculo Integral",8929,1003,11.23
68,course-v1:TECNM+ACF090116Ax+2016,"Cálculo diferencial",14819,1102,7.44
177,course-v1:TecNM+ACF-0901-A+2016,"Piérdele el miedo a las mates",22979,4523,19.68
63,course-v1:TecNM+ACF-0901-A+2016_S2,"Aritmética y principios de Álgebra",13129,1745,13.29
118,course-v1:TECNM+ACF090216Bx+2016,"Entendiendo el Cálculo Integral",5174,265,5.12
49,course-v1:TecNM+ACF090316Bx+2016_2,"Álgebra Lineal",7721,782,10.13
52,course-v1:TECNM+AL1P022017AX+2017_S1,"Álgebra Lineal, primera parte",6494,775,11.93
64,course-v1:TECNM+APA022017AX+2017_S1,"Aritmética y principios de Álgebra",5196,582,11.2
70,course-v1:TECNM+CD1P022017AX+2017_S1,"Cálculo diferencial, primera parte",6725,733,10.9
103,course-v1:TECNM+DSNFC022017Bx+2017_S1,"Desarrollo Sustentable, nuestro futuro compartido",6203,1819,29.32
154,course-v1:TECNM+ESHC022017AX+2017_S1,"La ética, el ser humano y la ciencia",4593,1238,26.95
134,course-v1:TecNM+HGC090116Bx+2016,"Herramientas de gestión y comunicación en la nube",9647,3136,32.51
